run_dir,date,time,status,baseline,model,args,iters_present,n_instances,n_total,accuracy,avg_cost,avg_in_tok,avg_out_tok,avg_in_tok_per_call,avg_out_tok_per_call,avg_model_calls,avg_budget_remaining,reliability,aptitude,unreliability,truncated_frac,Notes
2026-06-09/19-31-55/tools_only__Qwen3.5-9B__ddl__lin__iter9__psql,2026-06-09,19-31-55,done,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,9,189,1701,0.3275,0.0,133183.7,6682.8,7002.6,357.1,18.02,11.85,0.7048,0.4741,0.2952,0.0147,PySQL is too cheap 0.5 and make the model blind for KB
2026-06-09/19-24-58/tools_only__Qwen3.5-9B__ddl__lin__iter9__psql,2026-06-09,19-24-58,partial,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,4,18,19,0.5556,0.0,119426.1,4389.4,7082.5,259.3,15.79,-2.0,1.0,0.5556,0.0,0.0,
2026-06-08/21-52-35/tools_only__Qwen3.5-9B__ddl__lin__iter9__error_new_tools_no_limitations,2026-06-08,21-52-35,error,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,9,189,1700,0.3351,0.0,90660.8,5334.8,6572.4,400.5,13.26,11.928,0.7259,0.4815,0.2741,0.0094,
2026-06-08/21-52-35/tools_only__Qwen3.5-9B__ddl__lin__iter9__error,2026-06-08,21-52-35,error,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,9,189,1700,0.3351,0.0,90660.8,5334.8,6572.4,400.5,13.26,-1.93,0.7259,0.4815,0.2741,,
2026-06-08/21-52-35/tools_only__Qwen3.5-9B__ddl__lin__iter9,2026-06-08,21-52-35,running,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,,,,,,,,,,,,,,,,
2026-06-08/17-54-46/tools_only__Qwen3.5-9B__ddl__lin__iter9__new_tools,2026-06-08,17-54-46,done,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,9,189,1701,0.3057,0.0,97087.3,5471.2,6683.7,386.6,13.79,10.572,0.7005,0.4571,0.2995,0.0071,
2026-06-08/17-54-46/tools_only__Qwen3.5-9B__ddl__lin__iter9,2026-06-08,17-54-46,done,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,9,189,1701,0.3057,0.0,97087.3,5471.2,6683.7,386.6,13.79,-1.419,0.7005,0.4571,0.2995,,
2026-06-06/08-10-49/no_tool__Qwen3.5-9B__ddl__lin__iter1__debug,2026-06-06,08-10-49,done,no_tool,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 1 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,1,10,10,0.2,0.0,13229.8,3250.4,13229.8,3250.4,1.0,0.0,1.0,0.2,0.0,,
2026-06-05/08-43-05/tools_only__Qwen3.5-9B__ddl__lin__iter9__error,2026-06-05,08-43-05,error,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,9,189,1669,0.3139,0.0,132335.7,5404.2,4758.4,195.3,0.0,11.525,0.7455,0.4349,0.2545,0.0192,
2026-06-05/08-43-05/tools_only__Qwen3.5-9B__ddl__lin__iter9,2026-06-05,08-43-05,running,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,,,,,,,,,,,,,,,,
2026-06-05/08-35-15/tools_only__Qwen3.5-9B__ddl__lin__iter9,2026-06-05,08-35-15,running,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,,,,,,,,,,,,,,,,
2026-06-05/08-30-57/tools_only__Qwen3.5-9B__ddl__lin__iter9,2026-06-05,08-30-57,running,tools_only,Qwen/Qwen3.5-9B,--schema-type ddl --kb-linearized --num-iterations 9 --temperature 0.6 --top-p 0.95 --thinking --provider hosted_vllm --user-sim gpt-5.4-mini-2026-03-17,,,,,,,,,,,,,,,,
